idlogs,data,hora,dados_recebidos
+--------+---------------------+-----------------+
idlogs,data_hora,dados_recebidos
+--------+---------------------+-----------------+
1,2023-10-18,16:36:39,61
2,2023-10-18,16:40:22,5121
3,2023-10-18,16:40:51,61
4,2023-10-18,16:40:53,21
5,2023-10-18,16:43:11,511131
6,2023-10-18,16:43:53,61
7,2023-10-18,16:46:03,4111
8,2023-10-18,16:54:15,61
9,2023-10-18,16:54:51,11111121
10,2023-10-18,17:15:41,11111121
11,2023-10-18,17:28:09,61
12,2023-10-18,17:42:10,61
13,2023-10-18,18:41:03,61
14,2023-10-18,19:35:26,21
15,2023-10-18,20:43:39,61
16,2023-10-18,23:54:51,61
17,2023-10-19,01:15:41,11111121
18,2023-10-19,01:54:34,3111
19,2023-10-19,05:51:17,21
20,2023-10-19,07:10:41,21
21,2023-10-19,07:40:46,111121
22,2023-10-19,08:15:09,61
23,2023-10-19,08:19:24,11111121
24,2023-10-19,08:22:52,111121
25,2023-10-19,08:23:09,11111121
26,2023-10-19,09:06:43,111121
27,2023-10-19,09:08:02,11111121
28,2023-10-19,09:13:10,3111
29,2023-10-19,09:44:40,61
30,2023-10-19,09:44:45,21
31,2023-10-19,09:45:20,3121
32,2023-10-19,09:53:55,11111121
33,2023-10-19,09:56:14,111121
34,2023-10-19,10:40:06,21
35,2023-10-19,10:53:04,21
36,2023-10-19,10:53:35,61
37,2023-10-19,11:00:33,61
38,2023-10-19,11:10:05,1121
39,2023-10-19,11:10:47,11111121
40,2023-10-19,11:15:22,21
41,2023-10-19,11:18:28,111121
42,2023-10-19,11:20:31,61
43,2023-10-19,11:20:45,111121
44,2023-10-19,11:21:08,61
45,2023-10-19,11:55:59,3111
46,2023-10-19,12:00:58,21
47,2023-10-19,12:09:54,111121
48,2023-10-19,12:58:25,111121
49,2023-10-19,12:58:58,61
50,2023-10-19,12:59:34,3121
51,2023-10-19,13:40:02,111121
52,2023-10-19,13:42:10,21
53,2023-10-19,13:48:50,11111121
54,2023-10-19,13:56:07,61
55,2023-10-19,14:39:05,61
56,2023-10-19,15:38:16,21
57,2023-10-19,16:25:02,11111121
58,2023-10-19,16:34:12,11111121
59,2023-10-19,17:02:57,21
60,2023-10-19,17:03:20,61
61,2023-10-19,17:43:02,3121
62,2023-10-19,19:37:06,21
63,2023-10-19,19:40:13,61
64,2023-10-19,20:04:25,61
65,2023-10-19,20:46:24,21
66,2023-10-19,21:27:42,61
67,2023-10-19,21:36:25,61
68,2023-10-19,21:42:13,11111121
69,2023-10-19,22:04:59,61
70,2023-10-19,22:05:38,11111121
71,2023-10-19,22:52:49,1121
72,2023-10-19,23:52:36,61
73,2023-10-19,23:52:53,61
74,2023-10-20,08:09:32,511121
75,2023-10-20,09:42:27,21
76,2023-10-20,09:43:37,61
77,2023-10-20,12:11:30,21
78,2023-10-20,13:14:14,11111121
79,2023-10-20,13:45:01,21
80,2023-10-20,13:53:09,61
81,2023-10-20,14:21:43,61
82,2023-10-20,14:21:50,21
83,2023-10-20,14:21:55,3151
84,2023-10-20,14:21:58,4111
85,2023-10-20,16:14:22,61
86,2023-10-20,16:18:05,111121
87,2023-10-20,16:18:56,3111
88,2023-10-20,17:08:15,61
89,2023-10-20,18:17:13,61
90,2023-10-20,21:12:04,3131
91,2023-10-21,12:37:07,61
92,2023-10-22,13:21:01,1121
93,2023-10-22,13:21:23,61
94,2023-10-22,16:42:55,111121
95,2023-10-22,16:43:10,4111
96,2023-10-22,16:43:14,61
97,2023-10-22,17:43:24,61
98,2023-10-22,21:14:11,111121
99,2023-10-23,08:37:52,61
100,2023-10-23,08:49:23,61
101,2023-10-23,08:51:09,11111121
102,2023-10-23,08:52:01,111121
103,2023-10-23,09:51:15,21
104,2023-10-23,10:15:04,11111121
105,2023-10-23,10:22:15,61
106,2023-10-23,10:58:40,61
107,2023-10-23,11:00:28,21
108,2023-10-23,11:28:09,11111121
109,2023-10-23,12:01:55,21
110,2023-10-23,12:25:45,21
111,2023-10-23,12:26:13,61
112,2023-10-23,12:26:13,3131
113,2023-10-23,13:11:14,1121
114,2023-10-23,13:11:36,61
115,2023-10-23,15:13:50,61
116,2023-10-23,19:33:08,3121
117,2023-10-23,22:16:24,111121
118,2023-10-23,22:16:50,111121
119,2023-10-23,23:56:53,21
120,2023-10-23,23:57:00,111121
121,2023-10-23,23:57:09,511141
122,2023-10-24,00:02:00,1121
123,2023-10-24,09:43:50,21
124,2023-10-24,10:41:52,61
125,2023-10-24,13:00:49,21
126,2023-10-24,13:00:55,21
127,2023-10-24,13:10:57,111121
128,2023-10-24,13:40:43,61
129,2023-10-24,15:20:06,111121
130,2023-10-24,15:26:35,21
131,2023-10-24,15:50:12,21
132,2023-10-24,16:14:57,61
133,2023-10-24,16:15:58,21
134,2023-10-24,16:38:07,61
135,2023-10-24,16:54:00,61
136,2023-10-24,19:22:42,21
137,2023-10-24,19:56:48,61
138,2023-10-24,19:57:15,11111121
139,2023-10-24,20:33:30,21
140,2023-10-24,20:39:00,21
141,2023-10-25,07:34:48,3121
142,2023-10-25,07:48:34,61
143,2023-10-25,08:06:23,111121
144,2023-10-25,08:34:35,61
145,2023-10-25,08:35:18,21
146,2023-10-25,09:19:46,3111
147,2023-10-25,10:07:20,11111121
148,2023-10-25,10:19:56,111121
149,2023-10-25,10:43:15,1121
150,2023-10-25,11:10:12,111121
151,2023-10-25,11:31:52,3171
152,2023-10-25,12:22:07,111121
153,2023-10-25,13:10:44,21
154,2023-10-25,13:38:43,3121
155,2023-10-25,13:40:09,61
156,2023-10-25,13:48:34,61
157,2023-10-25,15:33:44,61
158,2023-10-25,16:53:56,61
159,2023-10-25,16:54:17,21
160,2023-10-25,16:54:57,21
161,2023-10-25,18:05:55,61
162,2023-10-25,18:06:48,61
163,2023-10-25,18:08:48,11111121
164,2023-10-25,20:12:44,111121
165,2023-10-25,21:22:03,111121
166,2023-10-25,22:41:58,11111121
167,2023-10-25,23:21:21,21
168,2023-10-25,23:22:15,111121
169,2023-10-26,09:01:52,21
170,2023-10-26,09:05:45,21
171,2023-10-26,09:10:27,111121
172,2023-10-26,09:10:40,61
173,2023-10-26,09:23:42,11111121
174,2023-10-26,09:44:18,21
175,2023-10-26,10:30:44,61
176,2023-10-26,10:47:16,11111121
177,2023-10-26,10:57:17,61
178,2023-10-26,11:54:04,21
179,2023-10-26,11:58:04,21
180,2023-10-26,12:23:30,21
181,2023-10-26,12:46:31,111121
182,2023-10-26,13:24:49,3121
183,2023-10-26,14:13:15,21
184,2023-10-26,14:13:21,61
185,2023-10-26,14:17:20,61
186,2023-10-26,15:04:41,111121
187,2023-10-26,15:21:36,11111121
188,2023-10-26,15:32:39,61
189,2023-10-26,15:33:11,3111
190,2023-10-26,15:46:50,21
191,2023-10-26,16:24:27,61
192,2023-10-26,16:28:35,11111121
193,2023-10-26,18:14:28,61
194,2023-10-26,19:56:47,21
195,2023-10-26,21:42:34,1121
196,2023-10-27,08:49:49,21
197,2023-10-27,08:58:46,61
198,2023-10-27,09:04:28,21
199,2023-10-27,09:28:10,111121
200,2023-10-27,11:09:13,3111
201,2023-10-27,11:43:14,61
202,2023-10-27,12:42:46,61
203,2023-10-27,13:21:15,21
204,2023-10-27,13:23:14,111121
205,2023-10-27,13:44:34,21
206,2023-10-27,13:45:04,21
207,2023-10-27,14:55:27,21
208,2023-10-27,14:57:53,61
209,2023-10-27,15:00:46,61
210,2023-10-27,19:23:45,3111
211,2023-10-27,20:02:41,3111
212,2023-10-27,20:32:04,3121
213,2023-10-28,05:31:27,11111121
214,2023-10-28,09:44:15,11111121
215,2023-10-28,10:11:26,111121
216,2023-10-28,15:37:00,111121
217,2023-10-28,16:14:23,11111121
218,2023-10-28,17:17:02,11111121
219,2023-10-28,18:51:13,4111
220,2023-10-29,12:22:56,21
221,2023-10-29,12:27:18,21
222,2023-10-29,15:57:18,111121
223,2023-10-29,22:18:39,3121
224,2023-10-30,08:29:19,21
225,2023-10-30,09:00:06,21
226,2023-10-30,09:23:01,21
227,2023-10-30,09:23:48,61
228,2023-10-30,09:31:18,61
229,2023-10-30,09:52:44,1121
230,2023-10-30,09:54:27,21
231,2023-10-30,10:04:01,11111121
232,2023-10-30,10:37:41,61
233,2023-10-30,10:41:15,11111121
234,2023-10-30,11:12:07,61
235,2023-10-30,11:38:33,11111121
236,2023-10-30,11:46:36,21
237,2023-10-30,12:06:08,61
238,2023-10-30,12:16:20,21
239,2023-10-30,12:27:24,21
240,2023-10-30,12:31:13,21
241,2023-10-30,13:30:54,61
242,2023-10-30,13:54:53,21
243,2023-10-30,15:08:30,61
244,2023-10-30,15:19:39,21
245,2023-10-30,15:36:58,21
246,2023-10-30,16:02:02,21
247,2023-10-30,16:55:39,21
248,2023-10-30,16:55:52,21
249,2023-10-30,16:56:09,21
250,2023-10-30,17:56:04,61
251,2023-10-30,21:03:37,61
252,2023-10-30,21:09:06,1121
253,2023-10-31,08:35:54,11111121
254,2023-10-31,09:32:01,21
255,2023-10-31,10:24:25,3121
256,2023-10-31,11:16:10,3121
257,2023-10-31,12:02:08,21
258,2023-10-31,12:20:52,21
259,2023-10-31,12:21:17,1121
260,2023-10-31,12:49:08,61
261,2023-10-31,12:50:01,61
262,2023-10-31,13:44:22,61
263,2023-10-31,16:00:28,21
264,2023-10-31,16:13:14,11111121
265,2023-10-31,16:33:23,3151
266,2023-10-31,17:11:43,11111121
267,2023-10-31,20:16:17,3111
268,2023-10-31,22:24:35,61
269,2023-11-01,10:00:48,11111121
270,2023-11-01,10:20:54,11111121
271,2023-11-01,10:55:52,61
272,2023-11-01,11:00:33,111121
273,2023-11-01,11:54:16,61
274,2023-11-01,12:06:35,21
275,2023-11-01,13:03:19,21
276,2023-11-01,13:32:22,21
277,2023-11-01,13:40:20,11111121
278,2023-11-01,13:40:52,61
279,2023-11-01,13:48:47,3111
280,2023-11-01,14:59:14,21
281,2023-11-01,16:22:31,11111121
282,2023-11-01,17:04:55,61
283,2023-11-01,17:05:13,21
284,2023-11-01,20:39:46,111121
285,2023-11-01,20:40:04,11111121
286,2023-11-02,00:34:15,61
287,2023-11-02,00:34:55,111121
288,2023-11-02,18:56:29,61
289,2023-11-03,04:05:04,3121
290,2023-11-03,06:47:39,21
291,2023-11-03,07:48:22,11111121
292,2023-11-03,07:48:47,61
293,2023-11-03,08:00:44,21
294,2023-11-03,08:24:00,21
295,2023-11-03,08:48:36,61
296,2023-11-03,09:03:46,61
297,2023-11-03,10:00:35,61
298,2023-11-03,10:20:21,61
299,2023-11-03,10:39:15,61
300,2023-11-03,10:45:09,3121
301,2023-11-03,10:53:22,11111121
302,2023-11-03,10:57:06,61
303,2023-11-03,12:12:12,61
304,2023-11-03,14:02:15,21
305,2023-11-03,14:26:56,61
306,2023-11-03,14:28:42,11111121
307,2023-11-03,14:50:27,21
308,2023-11-03,14:53:43,61
309,2023-11-03,14:58:59,21
310,2023-11-03,15:00:57,21
311,2023-11-03,16:26:53,111121
312,2023-11-03,16:28:53,21
313,2023-11-03,16:54:23,3111
314,2023-11-03,19:02:50,61
315,2023-11-03,20:14:53,61
316,2023-11-04,09:56:48,61
317,2023-11-04,09:57:02,21
318,2023-11-04,10:16:42,3111
319,2023-11-04,14:54:33,61
320,2023-11-04,14:56:33,3151
321,2023-11-04,17:41:59,3181
322,2023-11-04,18:28:07,111121
323,2023-11-04,18:28:50,3141
324,2023-11-04,20:29:15,11111121
325,2023-11-05,00:54:01,111121
326,2023-11-05,11:21:59,21
327,2023-11-05,11:24:13,61
328,2023-11-05,14:54:34,61
329,2023-11-05,15:37:23,111121
330,2023-11-05,16:40:14,61
331,2023-11-05,18:47:31,21
332,2023-11-06,08:22:24,11111121
333,2023-11-06,09:11:30,61
334,2023-11-06,09:16:29,61
335,2023-11-06,09:42:10,61
336,2023-11-06,09:56:18,21
337,2023-11-06,10:10:21,111121
338,2023-11-06,10:18:50,3181
339,2023-11-06,10:38:04,11111121
340,2023-11-06,10:47:45,61
341,2023-11-06,10:53:01,61
342,2023-11-06,11:03:04,111121
343,2023-11-06,11:24:16,21
344,2023-11-06,12:15:06,61
345,2023-11-06,12:16:37,21
346,2023-11-06,12:39:53,3121
347,2023-11-06,12:40:43,1121
348,2023-11-06,12:46:38,21
349,2023-11-06,14:57:38,21
350,2023-11-06,14:58:25,61
351,2023-11-06,15:35:59,61
352,2023-11-06,15:39:28,61
353,2023-11-06,15:40:28,21
354,2023-11-06,15:40:44,3121
355,2023-11-06,16:07:49,21
356,2023-11-06,16:20:40,11111121
357,2023-11-06,17:31:52,111121
358,2023-11-06,20:15:18,111121
359,2023-11-06,21:01:08,111121
360,2023-11-06,21:35:47,21
361,2023-11-07,09:10:33,21
362,2023-11-07,09:22:48,61
363,2023-11-07,10:05:32,21
364,2023-11-07,10:28:16,11111121
365,2023-11-07,10:32:57,21
366,2023-11-07,10:40:12,61
367,2023-11-07,11:54:40,61
368,2023-11-07,12:20:15,111121
369,2023-11-07,14:00:37,3121
370,2023-11-07,14:46:14,21
371,2023-11-07,15:19:23,3141
372,2023-11-07,15:33:11,1121
373,2023-11-07,15:48:59,21
374,2023-11-07,15:53:37,21
375,2023-11-07,15:53:51,21
376,2023-11-07,15:54:10,111121
377,2023-11-07,15:55:26,21
378,2023-11-07,16:41:56,11111121
379,2023-11-07,20:41:07,21
380,2023-11-07,20:54:12,21
381,2023-11-07,22:02:02,3111
382,2023-11-07,22:19:31,3131
383,2023-11-07,22:20:20,1121
384,2023-11-08,07:20:07,3111
385,2023-11-08,09:10:20,11111121
386,2023-11-08,09:36:04,21
387,2023-11-08,09:36:45,61
388,2023-11-08,10:08:19,3111
389,2023-11-08,10:08:48,21
390,2023-11-08,10:47:16,21
391,2023-11-08,10:48:50,21
392,2023-11-08,10:49:59,3141
393,2023-11-08,11:01:07,21
394,2023-11-08,11:43:54,21
395,2023-11-08,12:02:18,61
396,2023-11-08,12:07:06,21
397,2023-11-08,12:42:29,61
398,2023-11-08,13:03:39,11111121
399,2023-11-08,13:49:24,21
